,0,1,2,3,4,5,6,7,8,9
19,Less50,1,./result_pickles/for_metrics/Less50/1/EDmlpFlat_OnlyS_None_773.pkl,EDmlpFlat_OnlyS_None_773.pkl,0.7731924293671671,AUC=0.773 (0.745-0.801),0.31923211130005663,AUC=0.319 (0.294-0.344),0.37757437070938216,0.8336900030571691
20,Less50,1,./result_pickles/for_metrics/Less50/1/EDspectrumFlat_OnlyS_814.pkl,EDspectrumFlat_OnlyS_814.pkl,0.8141703233592523,AUC=0.814 (0.788-0.841),0.3598611946662257,AUC=0.360 (0.333-0.387),0.3657142857142857,0.8642616936716601
21,skemAdjustLess50,0,./result_pickles/for_metrics/skemAdjustLess50/0/EDmlpFlat_OnlyS_EM_812.pkl,EDmlpFlat_OnlyS_EM_812.pkl,0.8118317903036072,AUC=0.812 (0.785-0.839),0.351504292942583,AUC=0.352 (0.325-0.378),0.43958573072497115,0.8511158667074289
22,skemAdjustLess50,0,./result_pickles/for_metrics/skemAdjustLess50/0/EDmlpFlat_OnlyS_GAIN_685.pkl,EDmlpFlat_OnlyS_GAIN_685.pkl,0.6847082910534209,AUC=0.685 (0.654-0.715),0.22023563407362762,AUC=0.220 (0.200-0.240),0.0,0.8819932742280648
23,skemAdjustLess50,0,./result_pickles/for_metrics/skemAdjustLess50/0/EDmlpFlat_OnlyS_KNN_774.pkl,EDmlpFlat_OnlyS_KNN_774.pkl,0.7741211016424062,AUC=0.774 (0.746-0.802),0.3016448102769702,AUC=0.302 (0.277-0.326),0.3742953776775648,0.8303271170895751
24,skemAdjustLess50,0,./result_pickles/for_metrics/skemAdjustLess50/0/EDmlpFlat_OnlyS_MICE_778.pkl,EDmlpFlat_OnlyS_MICE_778.pkl,0.7780488680956529,AUC=0.778 (0.750-0.806),0.30445305383378923,AUC=0.304 (0.280-0.329),0.3757292882147025,0.8364414552124733
25,skemAdjustLess50,0,./result_pickles/for_metrics/skemAdjustLess50/0/EDmlpFlat_OnlyS_MIDA_781.pkl,EDmlpFlat_OnlyS_MIDA_781.pkl,0.7812007794470236,AUC=0.781 (0.753-0.809),0.3006388433405808,AUC=0.301 (0.276-0.325),0.3659147869674185,0.8453072454906756
26,skemAdjustLess50,0,./result_pickles/for_metrics/skemAdjustLess50/0/EDmlpFlat_OnlyS_None_789.pkl,EDmlpFlat_OnlyS_None_789.pkl,0.7889620244071084,AUC=0.789 (0.761-0.817),0.31073293693466436,AUC=0.311 (0.286-0.336),0.3623693379790941,0.8321614185264445
27,skemAdjustLess50,0,./result_pickles/for_metrics/skemAdjustLess50/0/EDspectrumFlat_OnlyS_823.pkl,EDspectrumFlat_OnlyS_823.pkl,0.8225949838812511,AUC=0.823 (0.796-0.849),0.37020522156865326,AUC=0.370 (0.343-0.398),0.4322580645161291,0.8385814735554876
28,skemAdjustLess50,2,./result_pickles/for_metrics/skemAdjustLess50/2/EDmlpFlat_OnlyS_EM_815.pkl,EDmlpFlat_OnlyS_EM_815.pkl,0.8153307160085209,AUC=0.815 (0.789-0.842),0.36756559941858596,AUC=0.368 (0.341-0.395),0.4337078651685393,0.8459186793029655
