,0
0,6.870737735190189
1,6.284246758477554
2,6.1566790017849256
3,6.012344044098672
4,5.779239722416232
5,5.384695569833113
6,5.138112589863766
7,5.067102218676063
8,5.012446488367101
9,4.959051040220612
10,4.903296971054678
11,4.8772372857530675
12,4.854903886708607
13,4.830188573824932
14,4.800706810098074
15,4.7947922458619585
16,4.778947895420964
17,4.749153991683646
18,4.73393937674391
19,4.713917466793978
20,4.697188762865196
21,4.6796975653322255
22,4.656774669936021
23,4.650359879591593
24,4.629568138061998
25,4.618885349477229
26,4.610888579315384
27,4.595349435899475
28,4.582336508147786
29,4.572719995088024
30,4.562553105573153
31,4.546266924066202
32,4.541771196767495
33,4.536435389517755
34,4.522851883408989
35,4.507944734075586
36,4.497744611049798
37,4.490197632977468
38,4.486719138312304
39,4.479296667257008
40,4.466617315932651
41,4.457290504304243
42,4.448918900358658
43,4.441899607104963
44,4.433261964223905
45,4.426726327306792
46,4.416475157065075
47,4.407031430966495
48,4.405439196092646
49,4.395921748385745
50,4.3925903273987466
51,4.383372515482999
52,4.3779274327332915
53,4.372095067999219
54,4.361941792400521
55,4.359365090926275
56,4.356773857450806
57,4.349081250467151
58,4.334900817282789
59,4.327785548964833
60,4.325510659693079
61,4.322278039872556
62,4.31612494614074
63,4.3069287358861645
64,4.300255667071535
65,4.296919655089064
66,4.290395420500433
67,4.281896932410887
68,4.277000713592205
69,4.269418520139157
70,4.264893955213252
71,4.257227443674462
72,4.252249989134617
73,4.248423170598039
74,4.242640843072294
75,4.234041197079441
76,4.231452678828911
77,4.222222284456463
78,4.217507290872592
79,4.21752487269683
80,4.206208760819678
81,4.198880890738934
82,4.192806033998473
83,4.187552187232488
84,4.184252486249195
85,4.177210074199372
86,4.167448031396494
87,4.159418554779112
88,4.156830594827797
89,4.1535180708161725
90,4.143171626205794
91,4.140832263471407
92,4.1281240152666765
93,4.124685608594964
94,4.119540398246032
95,4.110946504205858
96,4.1063683998815295
97,4.095234036489859
98,4.087129224045223
99,4.083731795039591
100,4.07114313888597
101,4.064509977188746
102,4.060762272673112
103,4.049082638234149
104,4.044569343789318
105,4.040347864375076
106,4.030561239939317
107,4.024667327268645
108,4.019504115692705
109,4.012212732483061
110,4.006089591256398
111,4.000587843633485
112,3.988568570362082
113,3.9861027563258764
114,3.978638491165141
115,3.971816426448972
116,3.970321487227222
117,3.9582118559392927
118,3.9465013416097277
119,3.9454302436607134
120,3.9346481177208226
121,3.9308057213698677
122,3.9204814523024676
123,3.912541062683131
124,3.90674098571951
125,3.9016085948891397
126,3.898586752675134
127,3.894235733341794
128,3.887731365103421
129,3.8810023840892085
130,3.8762461587496038
131,3.8719320340400567
132,3.865483762632866
133,3.856949534004661
134,3.8518329376899296
135,3.8429435975015505
136,3.839146245922444
137,3.835058306424693
138,3.824655333438719
139,3.82024679605329
140,3.8130677140799705
141,3.811207922172224
142,3.8072968022237683
143,3.7983902103851457
144,3.792235914699653
145,3.7872390305547143
146,3.77922532653903
147,3.7742832986936192
148,3.7703554418218648
149,3.762268971445182
150,3.76083399075527
151,3.7529165267963998
152,3.7508555735210987
153,3.7406927073332685
154,3.7390942859441236
