,0
0,7.715464220888162
1,7.359715326865341
2,7.07973229687984
3,6.946964780943482
4,6.79303825296307
5,6.522979961759572
6,6.13233945066032
7,5.8672729524984675
8,5.783943738697888
9,5.7390379843960195
10,5.709856120312437
11,5.678195978537239
12,5.655773687301717
13,5.636175698012177
14,5.619604367530694
15,5.6056537820867085
16,5.59044575285191
17,5.571798535171162
18,5.556979067541586
19,5.546987403678352
20,5.536903427043486
21,5.520536429650719
22,5.511259191272471
23,5.5008327139170605
24,5.4871427507028105
25,5.478293214786727
26,5.468231833186092
27,5.460624757351214
28,5.451502476459749
29,5.442097911903143
30,5.432324564543946
31,5.429590548983722
32,5.415814734258325
33,5.3998286929466195
34,5.399798590563473
35,5.3922083708661
36,5.381467775071381
37,5.37226769290144
38,5.364260368536716
39,5.361593264018643
40,5.351678859769209
41,5.339213802398522
42,5.33231566949292
43,5.32460975100353
44,5.3134495097825685
45,5.302762760840162
46,5.300264125361668
47,5.292417062601548
48,5.278111964018093
49,5.273435670534835
50,5.258051338217823
51,5.251007508997582
52,5.24187212708827
53,5.2398130039859865
54,5.226435189984281
55,5.22079578224032
56,5.210955849765852
57,5.202600603491777
58,5.194633657330312
59,5.18880829292594
60,5.177276559222296
61,5.17524059106579
62,5.160637850968067
63,5.158586421950194
64,5.149983862867886
65,5.143540892806094
66,5.1380862777176395
67,5.131320083142802
68,5.121872084149921
69,5.11796016106384
70,5.110743198604772
71,5.101319301035482
72,5.100112012487447
73,5.095629825979787
74,5.086052542769792
75,5.077170307004797
76,5.078254588180894
77,5.069600339093349
78,5.065877966082301
79,5.064234867778632
80,5.046817850975159
81,5.043019282724935
82,5.0390519753696354
83,5.030951903867287
84,5.025268870822416
85,5.026341557075085
86,5.012137220646248
87,5.004952157513588
88,4.997307209628207
89,4.996880890683958
90,4.992200049030319
91,4.982635382922486
92,4.978807256509926
93,4.973811307035423
94,4.971349143926878
95,4.962178788191609
96,4.962567880745401
97,4.954146095936699
98,4.947235071714635
99,4.939187039247931
100,4.928657998881789
101,4.932040557906158
102,4.9228817543478725
103,4.917163379393599
104,4.910974818108515
105,4.902304990046502
106,4.896319489995994
107,4.893829566592516
108,4.882124218447794
109,4.8829316398020035
110,4.881153623441643
111,4.869242194165771
112,4.863543513150447
113,4.862083100893095
114,4.854627028302425
115,4.84610746989353
116,4.845614470096919
117,4.832865570349613
118,4.830775843763405
119,4.828102617105314
120,4.822900688705737
121,4.82162815001344
122,4.810767959798274
123,4.808772737692521
124,4.804799985415684
125,4.799376707008994
126,4.792775496852151
127,4.784583243668574
128,4.782447672721986
129,4.776703792829365
130,4.776282053260005
131,4.768344945236312
132,4.761939624408698
133,4.755128746096422
134,4.748887107788246
135,4.7442589230077505
136,4.744673821455296
137,4.732157276741554
138,4.732318393235688
139,4.725076597610221
140,4.72193493394182
141,4.714820256189368
142,4.712226324890339
143,4.70230293771389
144,4.705645672154522
145,4.701301757667312
146,4.690201898785376
147,4.686378969270605
148,4.690538393178481
149,4.6746664976887855
150,4.678391356265872
151,4.672264082348915
152,4.66370613439015
153,4.658183186104664
154,4.655958369689491
155,4.6456404914413945
156,4.646922801097474
157,4.639065395428527
158,4.6379505778375565
159,4.634866452670324
160,4.627791972186097
161,4.625422853336379
162,4.614012249739783
163,4.613060206493138
164,4.611280172241137
165,4.606051044205352
166,4.601266695009763
167,4.59116911006256
168,4.589938830436664
169,4.578736414796696
170,4.583051324918055
171,4.57833538652769
172,4.564220935682637
173,4.562176668896124
174,4.553310506009873
175,4.551070386368212
176,4.541289544126175
177,4.541898193499373
178,4.530668862504736
179,4.5279165526271274
180,4.524837277529485
181,4.51965807104675
182,4.517002325501178
183,4.5054701113424604
184,4.50359277602132
185,4.499258697738323
186,4.489974563733597
187,4.485034961660328
188,4.474154577467211
189,4.473779863015651
190,4.465057274733989
191,4.4631616651512935
192,4.457897990478702
193,4.453224390473574
194,4.454894300451142
195,4.445013997343505
196,4.441565284345191
197,4.43055645556633
198,4.430810820279203
199,4.4196192300283785
