,0
0,0.5576798278419951
1,0.5662687192653932
2,0.5786509751081734
3,0.5907343946442876
4,0.6253096669124552
5,0.6913516065545942
6,0.7322992536165381
7,0.7438468897152568
8,0.752101579588596
9,0.7591918688232392
10,0.7655412562088105
11,0.7705679834915043
12,0.7755854273978076
13,0.7797266973990632
14,0.7845275291895877
15,0.788169265127925
16,0.7921894091705612
17,0.7956233743039678
18,0.8003543597387922
19,0.803646863898629
20,0.8068642169162569
21,0.8105519276710041
22,0.8137082756437801
23,0.816007900595374
24,0.8186165293611093
25,0.8189768127781699
26,0.8211367450183633
27,0.8216663395381653
28,0.8222631280204128
29,0.8226265058962702
30,0.8227056356283609
31,0.82286168476483
32,0.8232710374570974
33,0.823704261688655
34,0.8232352301481627
35,0.8238112415499171
36,0.8245105892380029
37,0.8248775036381993
38,0.82508527444313
39,0.8249570754358324
40,0.8255688941465216
41,0.8252117051882579
42,0.8253540502929126
43,0.8261975113478225
44,0.8262072367897554
45,0.8265679622723584
46,0.8271426474774854
47,0.8269189623130283
48,0.8271948112114894
49,0.8279047684725929
50,0.8273362721850591
51,0.8282027206481741
52,0.8283264990000478
53,0.828564330261862
54,0.8288136552277787
55,0.8289445066283307
56,0.8291080708790208
57,0.8283786627340517
58,0.8292433429349969
59,0.8292698668675412
60,0.8297517183087633
61,0.8302247284391373
62,0.830039060911327
63,0.8306278922138113
64,0.8306402700489985
65,0.8305120710417009
66,0.830624355689472
67,0.8314890358904173
68,0.8317330560698252
69,0.8316676303695492
70,0.8317454339050125
71,0.8317551593469454
72,0.8317021114818569
73,0.8318957361894304
74,0.8323298445520727
75,0.8321565548594497
76,0.8325552979786994
77,0.832452296707319
78,0.8331768421313217
79,0.8327798672742416
80,0.8329531569668646
81,0.8332723282884813
82,0.833602109183116
83,0.8336180235426426
84,0.8339000613586972
85,0.8336693031455616
86,0.8341078321636278
87,0.8343916382418524
88,0.8345472453127791
89,0.8338532024112023
90,0.8344720941705701
91,0.8349062025332122
92,0.8348584594546327
93,0.8350078776079658
94,0.8348049695240015
95,0.8350609254730542
96,0.8352863788996812
97,0.835558691273803
98,0.8354331446597598
99,0.8358716736778261
100,0.8354110413826394
101,0.8357054570338815
102,0.8358707895467412
103,0.8360812127449264
104,0.8359388676402718
105,0.8362987089917899
106,0.8361806774919676
107,0.836115693857234
108,0.8365232782873322
109,0.8363446838082002
110,0.8366673916541562
111,0.8361713941155773
112,0.8366161120512372
113,0.8369697644851617
114,0.8367779080397577
115,0.8372208577132481
116,0.8372526864323011
117,0.8371465907021239
118,0.8371943337807037
119,0.8371775352900922
120,0.8370590617247275
121,0.8373216486569165
122,0.8376576184691448
123,0.837965296086659
124,0.8379016386485525
125,0.8373729282598356
126,0.838181024071353
127,0.8384639460184924
128,0.838442726872457
129,0.8380554774573096
130,0.8382703213109188
131,0.838695588362713
132,0.8385691576175851
133,0.8390625027629095
134,0.8389033591676436
135,0.8389988453248032
136,0.8388945178567956
137,0.8384409586102874
138,0.8389687848679196
139,0.8390094548978211
140,0.8391394221672881
141,0.8390678075494185
142,0.8389944246693792
143,0.8388861186114898
144,0.839454172833481
145,0.8394223441144276
146,0.8393913995264592
147,0.8390023818491424
148,0.8396504499343092
149,0.839660175376242
150,0.8393454247100492
151,0.8396858151777015
152,0.8397848378592002
153,0.8397759965483522
154,0.8397167597656701
155,0.8394997055843489
156,0.8398255078891018
157,0.8401216918025133
158,0.8397910267767938
159,0.840240165367878
160,0.8399987975817246
161,0.840049193053559
162,0.8398909335893777
163,0.8400748328550185
164,0.8401057774429868
165,0.8406159210789229
166,0.8406786943859444
167,0.8404108026672465
168,0.840540769936714
169,0.8408926541084687
170,0.8409350924005397
171,0.8400748328550185
172,0.8395585003014886
173,0.839894470113717
174,0.8405460747232227
175,0.8401623618324148
176,0.8398873970650385
177,0.8405434223299685
178,0.8402605003828287
179,0.8403091275924934
180,0.8405089412176606
181,0.8402198303529275
182,0.8399430973233815
183,0.8403745532927694
184,0.8406459815358064
185,0.839982883222198
186,0.8397556615334016
187,0.8401040091808173
188,0.8396548705897332
189,0.8406194576032621
190,0.840535465150205
191,0.8398997749002257
192,0.8398546842149005
193,0.839772460024013
194,0.8398308126756105
195,0.8395638050879976
196,0.8392030796053948
197,0.8387194599020029
198,0.8396256942639344
199,0.8394930746012127
