,0
0,7.717909382495878
1,7.386093829355471
2,7.033008650662374
3,6.910326874313553
4,6.797003781583005
5,6.701373958807505
6,6.3868414621807394
7,5.869691591618909
8,5.757496339709166
9,5.697469685823713
10,5.671844541921008
11,5.6348279737502605
12,5.621735622616756
13,5.586141048455895
14,5.565345627160999
15,5.549516716037182
16,5.526890267988559
17,5.508856478511249
18,5.49225514224929
19,5.47659326010923
20,5.4586353288064515
21,5.444650727190726
22,5.43580091152228
23,5.416156247440379
24,5.400048399004929
25,5.398609280316327
26,5.384427791772288
27,5.374709151064126
28,5.361967090992855
29,5.3588107512745236
30,5.3493593319472055
31,5.337189524952368
32,5.323145435825263
33,5.325331460040268
34,5.302679047991468
35,5.2944569748478845
36,5.289345174783697
