,0,1,2
0,0_S+Type+M+T,S+Type+M+T,AUC=0.841 (0.816-0.866)
1,1_Type+M+T,Type+M+T,AUC=0.779 (0.751-0.807)
2,4_S+Type+M,S+Type+M,AUC=0.825 (0.799-0.851)
3,5_S+Type,S+Type,AUC=0.819 (0.793-0.846)
4,6_S+M,S+M,AUC=0.698 (0.668-0.729)
