,0
0,0.7680084188371481
1,0.7646935017100762
2,0.7644139700078926
3,0.7633517495395948
4,0.7676006314127861
5,0.7640357800578794
6,0.7634767166535121
7,0.7655222309918441
8,0.7634339647461195
9,0.7664364640883978
10,0.7636904761904761
11,0.7627269139700078
12,0.7640423572744014
13,0.7614114706656143
14,0.7659069981583794
15,0.7652821625887924
16,0.7643317548013681
17,0.765176927124441
18,0.7628584583004473
19,0.7641870560378848
20,0.7647888713496449
21,0.7652525651144435
22,0.7609510655090767
23,0.7646211523283346
24,0.7649006840305184
25,0.765170349907919
26,0.7642396737700605
27,0.7660253880557748
28,0.763522757169166
29,0.7657359905288081
30,0.7655386740331491
31,0.7653742436201001
32,0.7622862404630361
33,0.766002367797948
34,0.7654498816101026
35,0.7663378058405682
36,0.7664825046040515
37,0.7662194159431729
38,0.7657228360957642
39,0.7627630886608786
40,0.7663049197579584
41,0.7664298868718759
42,0.7663904235727441
43,0.7653380689292291
44,0.7659464614575112
45,0.7665088134701393
46,0.7667225730071034
47,0.7691923178111024
48,0.7667455932649301
49,0.7666600894501447
50,0.7667455932649303
51,0.7667455932649303
52,0.7666732438831887
53,0.7661141804788213
54,0.7669363325440673
55,0.7673770060510391
56,0.7675743225466982
57,0.7698368850302552
58,0.7677453301762693
59,0.767837411207577
60,0.7674559326493029
61,0.7668113654301499
62,0.7679294922388844
63,0.767843988424099
64,0.7680347277032359
65,0.7680413049197579
66,0.7679952644041041
67,0.7683175480136807
68,0.7679492238884503
69,0.7684622467771639
70,0.7648710865561694
71,0.7682780847145488
72,0.7686694290976057
73,0.7676532491449618
74,0.7689160747171797
75,0.769442252038937
76,0.7693172849250197
77,0.7694554064719811
78,0.7702545382794002
79,0.7695343330702447
80,0.7711523283346488
81,0.771698237305972
82,0.7702117863720074
83,0.7705669560641937
84,0.771303604314654
85,0.7725730071033938
86,0.7716456195737964
87,0.7723625361746909
88,0.7744277821625887
89,0.7739936858721389
90,0.7728755590634043
91,0.7743883188634569
92,0.7746711391739015
93,0.7781110234148908
94,0.777854511970534
95,0.7796172059984215
96,0.7786766640357801
97,0.7781636411470665
98,0.7804788213627991
99,0.7798276769271245
