,0,1,2
0,0_S+Type+M+T,S+Type+M+T,AUC=0.842 (0.828-0.856)
1,1_S+M+T,S+M+T,AUC=0.773 (0.756-0.789)
2,2_S+Type+T,S+Type+T,AUC=0.776 (0.759-0.792)
3,3_S+Type+M,S+Type+M,AUC=0.836 (0.821-0.850)
