,0,1,2
0,0_Mean,Mean,AUC=0.784 (0.771-0.798)
1,1_EM,EM,AUC=0.818 (0.805-0.831)
2,2_KNN,KNN,AUC=0.779 (0.765-0.792)
3,3_MICE,MICE,AUC=0.781 (0.767-0.794)
4,4_MIDA,MIDA,AUC=0.772 (0.758-0.786)
5,5_GAIN,GAIN,AUC=0.630 (0.615-0.646)
6,6_Spectrum-TP,Spectrum-TP,AUC=0.831 (0.819-0.844)
