,0,1,2
0,0_All-variables,All-variables,AUC=0.825 (0.799-0.851)
1,1_Low-missing,Low-missing,AUC=0.821 (0.795-0.848)
2,2_Low-missing & skew adjust,Low-missing & skew adjust,AUC=0.823 (0.796-0.849)
3,3_Time-sequence,Time-sequence,AUC=0.841 (0.816-0.866)
4,4_Dx + Time-sequence,Dx + Time-sequence,AUC=0.906 (0.886-0.927)
