,0,1,2
0,0_Mean,Mean,AUC=0.878 (0.867-0.889)
1,1_EM,EM,AUC=0.894 (0.884-0.905)
2,2_KNN,KNN,AUC=0.877 (0.866-0.888)
3,3_MICE,MICE,AUC=0.876 (0.865-0.887)
4,4_MIDA,MIDA,AUC=0.880 (0.869-0.891)
5,5_GAIN,GAIN,AUC=0.871 (0.860-0.882)
6,6_Spectrum-TP,Spectrum-TP,AUC=0.898 (0.888-0.908)
7,7_Only-Dx,Only-Dx,AUC=0.865 (0.853-0.876)
