,0,1,2
0,0_Mean,Mean,AUC=0.782 (0.765-0.798)
1,1_EM,EM,AUC=0.816 (0.800-0.831)
2,2_KNN,KNN,AUC=0.778 (0.761-0.794)
3,3_MICE,MICE,AUC=0.780 (0.764-0.796)
4,4_MIDA,MIDA,AUC=0.772 (0.756-0.789)
5,5_GAIN,GAIN,AUC=0.663 (0.646-0.681)
6,6_Spectrum-TP,Spectrum-TP,AUC=0.830 (0.815-0.845)
