,0
0,5.438605877552844
1,5.368343673806626
2,5.349522138698002
3,5.340301230821058
4,5.3299674952666845
5,5.328747281450928
6,5.317229840946577
7,5.313062369034274
8,5.29844573685697
9,5.291539615980239
10,5.2937535513298934
11,5.284477275559707
12,5.272462552599266
13,5.60551014634728
14,5.296664265328234
15,5.268259736048894
16,5.259285038719462
17,5.253585121026621
18,5.24401100001918
19,5.23893925006669
20,5.233602820016322
21,5.220933754959228
22,5.216594157935783
23,5.220221750872812
24,5.211425083312367
25,5.206114558920769
26,5.198437785515319
27,5.1918808241806556
28,5.185269063912795
29,5.1803233827097515
30,5.176465408323901
31,5.169482907435916
32,5.164300738185647
33,5.156301894469398
34,5.158505926934557
35,5.152408230779614
36,5.157024661854763
37,5.141131879207156
38,5.136031215824313
39,5.132262584771876
40,5.119792296605204
41,5.114905395828569
42,5.113671410076838
43,5.111990023318494
44,5.1010470953008005
45,5.102348571319595
46,5.095737561459018
47,5.086759652321429
48,5.083199358721326
49,5.0736980097370346
50,5.070688409408742
51,5.066288203962947
52,5.063986587644583
53,5.065021253440967
54,5.060404897177532
55,5.052836238125839
56,5.050453723011939
57,5.04350477178695
58,5.036509292310807
59,5.035125837981661
60,5.024712016516165
61,5.0205760073913694
62,5.015421123004091
63,5.011534416893951
64,5.003783184841667
65,5.01137500584813
66,4.993253085700373
67,4.984125549804567
68,4.986792433029623
69,4.98601157432311
70,4.973431111646159
71,4.9748689531505805
72,4.9660555838660425
73,4.968277609088317
74,4.961665044945201
75,5.030810882636855
76,4.951620851409312
77,4.944814624834445
78,4.9393517057805765
79,4.936020325849462
80,4.927295840011845
81,4.9308464236369
82,4.934396926263881
83,4.920733021159984
84,4.920269652023974
85,4.9094790260956085
86,4.90680948271127
87,4.903169215592093
88,4.896032998362426
89,4.893263574280664
90,4.888633480764838
91,4.889005250400197
92,4.884624672955155
93,4.883712535720469
94,4.869134126816931
95,4.862788116799037
96,4.860814417287847
97,4.86098314154757
98,4.855609379342051
99,4.8633866822314005
100,4.89012567177061
101,4.843249040041897
102,4.833280347483651
103,4.8310855272771365
104,4.835757717499729
105,4.834273959814584
106,4.825538012615595
107,4.81445879251721
108,4.809242388332515
109,4.816063015061409
110,4.854810778360052
111,4.795282115806983
112,4.793345343231219
113,4.793632419964157
114,4.783932767069662
115,4.791408989897899
116,4.784793228366826
117,4.7764926372416046
118,4.776117409013946
119,4.764233785633709
120,4.766949457478429
121,4.757479262936655
122,4.7652362207207695
123,4.822622610901728
124,4.740572161760928
125,4.746807778943494
126,4.73998015997564
127,4.748228958917817
128,4.739055072968928
129,4.725794985036211
130,4.722365237872268
131,4.7321846841298365
132,4.716023126077869
133,4.712833915099255
134,4.704303035105663
135,4.7103778141950166
136,4.698892274457054
137,4.782144358632546
138,4.692161805141893
139,4.7077727055057395
140,4.6775383921109555
141,4.68024157241436
142,4.675266175412434
143,4.676089967733392
144,4.668305785218979
145,4.664854110991572
146,4.664731458475091
147,4.666682666300387
148,4.651347429095815
149,4.653579066485366
150,4.646731694955355
151,4.646295106144068
152,4.634063627355445
153,4.63596838340286
154,4.644428970403099
155,4.628914591715389
156,4.628294576509662
157,4.61852319416894
158,4.623019596739334
159,4.619913223352014
160,4.607398836434991
161,4.602422725866616
162,4.603847210016941
163,4.650551492857981
164,4.592522647906103
165,4.590689068348056
166,4.594878319472874
167,4.5888544306339565
168,4.580404523163788
169,4.568839474601132
170,4.5654099554912495
171,4.5751371221832615
172,4.596140974377019
173,4.553272492987039
174,4.548898182812386
175,4.551301383140234
176,4.545582570929831
177,4.540180582206148
178,4.530941620391388
179,4.529490613747882
180,4.598064348814827
181,4.519839382749363
182,4.518409622675737
183,4.514593442047683
184,4.507973948839481
185,4.510718074228062
186,4.510148226106723
187,4.4902817810068205
188,4.49249101705395
189,4.488110530366035
190,4.486058927250195
191,4.477877600083024
192,4.4806076315654
193,4.474754516808252
194,4.469394100600924
195,4.463481562459054
196,4.463343913520251
197,4.454503663843127
198,4.470252696560995
199,4.488655036353344
