,0
0,2.763653275904597
1,2.0058495815996955
2,1.9635389010591655
3,1.948418938925191
4,1.9361724286814959
5,1.9258853766082396
6,1.9172840712295915
7,1.9078422915581603
8,1.89838213543661
9,1.89038224104195
10,1.8838900005795476
11,1.8753519154654403
12,1.8674588715896991
13,1.8604121617328924
14,1.854410455475188
15,1.8486050430805145
16,1.8437713406385947
17,1.8371572344927993
18,1.8318389674584892
19,1.8264694779926745
20,1.8211322024695131
21,1.8149783249090814
22,1.8089555709687373
23,1.8005399084687819
24,1.7928959427703868
25,1.7863583150090725
26,1.780540521668393
27,1.774332803196223
28,1.7685544814063587
29,1.762139609019031
30,1.7555566838723988
