,0
0,7.751093139913732
1,7.587643930945989
2,7.161654835231685
3,7.025031233254452
4,6.902412184786632
5,6.60875621648841
6,6.323670704489336
7,6.029698929486724
8,5.81658475099752
9,5.759305459084732
10,5.721449668067502
11,5.695461769329088
12,5.667713319875132
13,5.649897092172338
14,5.633913318230637
15,5.619972316588128
16,5.611772219330763
17,5.58444740677037
18,5.581375235647867
19,5.5652914118602705
20,5.555118112269675
21,5.54140933673835
22,5.532455768240414
23,5.524239078325577
24,5.5210318774369105
25,5.505594174695752
26,5.494189649168068
27,5.49235583785154
28,5.486524280420717
29,5.466899966139819
30,5.463255490114652
31,5.452069264515734
32,5.450547101343511
33,5.44481960955523
34,5.425597252004124
35,5.441976209595948
36,5.4142104459095455
37,5.408564205840771
38,5.40596182781492
39,5.395603317108406
40,5.3958621297070275
41,5.379729431901685
42,5.371338511275912
43,5.36631187240872
44,5.353552603829077
45,5.353977753319481
46,5.344638718455941
47,5.330020562967173
48,5.326211591847035
49,5.323100856975771
50,5.306103760842333
51,5.301757502047443
52,5.293000349587591
53,5.2767987467284305
54,5.27410522275185
55,5.276253349106014
56,5.258243929393488
57,5.255782411247997
58,5.24239559225811
59,5.233017469702666
60,5.227166547153167
61,5.225753205999035
62,5.21206055701998
63,5.201540661144709
64,5.193944221510263
65,5.200271517557726
66,5.1793541262220755
67,5.174060422639069
68,5.213008049789921
69,5.160202928295174
70,5.14689012534676
71,5.141119575223176
72,5.205937719003075
73,5.135163070278089
74,5.1266872343934295
75,5.117009974612138
76,5.19866186067371
77,5.113222467493754
78,5.101407637212054
79,5.104369853036723
80,5.083757748120374
81,5.087822439294574
82,5.076583758664129
83,5.069894668195579
84,5.061584966187562
85,5.058399661072375
86,5.119856914540785
87,5.054208499164883
88,5.0384392030735725
89,5.033194123602103
90,5.034593400840116
91,5.0298411652042825
92,5.021697835214172
93,5.011653564021813
94,5.008743133553703
95,5.007326413707654
96,5.013179743371985
97,4.989867456640813
98,4.977322011702489
99,4.977530394527609
100,4.97483249953219
